,y(01),y(02),y(03),y(04),y(05),y(06),y(07),y(08),y(09),y(10)
1971-08,5.1498,5.5307,5.7565,5.8982,5.9922,6.0578,6.1057,6.1419,6.1701,6.1928
1971-09,5.1603,5.5107,5.7152,5.8422,5.9257,5.9838,6.026,6.0579,6.0828,6.1028
1971-10,4.5242,4.9833,5.3157,5.5276,5.6652,5.7593,5.827000000000001,5.8779,5.9174,5.9491
1971-11,4.6539,5.0616,5.3648,5.5808,5.7347,5.8464,5.9295,5.9931,6.042999999999999,6.0831
1971-12,4.3542,4.7912,5.1087,5.3434,5.52,5.6554,5.761,5.8448,5.9123,5.9677
1972-01,4.243,4.9197,5.3311,5.5942,5.771,5.8953,5.9864,6.0556,6.1097,6.1531
1972-02,4.2036,4.8476,5.2582,5.5306,5.7185,5.8531,5.9528,6.0291,6.0889999999999995,6.1372
1972-03,5.0208,5.5715,5.8148,5.9438,6.0221,6.0744,6.1118,6.1399,6.1617,6.1792
1972-04,4.5459,5.1766,5.5261,5.7355,5.8703,5.9626,6.0294,6.0796,6.1187,6.1501
1972-05,4.569,5.0607,5.3870000000000005,5.6106,5.7687,5.8839999999999995,5.9706,6.0373,6.09,6.1326
1972-06,5.0769,5.5089,5.7368,5.8691,5.9528,6.0096,6.0505,6.0812,6.1051,6.1242
1972-07,4.7773,5.3989,5.6903,5.8488,5.9459,6.0111,6.0577,6.0926,6.1198,6.1415
1972-08,5.3263,5.7237,5.9478,6.0836,6.1717,6.2323,6.2761,6.3092,6.335,6.3556
1972-09,5.4438,5.8195,6.0145,6.1267,6.1972,6.245,6.2793,6.3051,6.3251,6.3412
1972-10,5.4437,5.8419,6.02,6.1148,6.1725,6.2111,6.2387,6.2594,6.2755,6.2884
1972-11,5.3223,5.6965,5.8919,6.0046,6.0756,6.1237,6.1583,6.1843,6.2045,6.2207
1972-12,5.657,5.9204,6.0547,6.1311,6.1788,6.2111,6.2343,6.2517,6.2652,6.276
1973-01,6.1379,6.279,6.3292,6.3521,6.365,6.3734,6.3794,6.3838,6.3873,6.39
1973-02,6.4345,6.597,6.6369,6.629,6.6054,6.5789,6.5543,6.5331,6.5152,6.5001
1973-03,6.9905,6.8679,6.7675,6.7043,6.6639,6.6365,6.6169,6.6022,6.5907,6.5815
1973-04,6.7314,6.7019,6.6603,6.6351,6.6194,6.6088,6.6013,6.5957,6.5913,6.5878
